Time,Open,High,Low,Last,Change,%Chg,Volume
03/18/2021,3.9482,3.977,3.9447,3.9756,0.0275,+0.70%,1822
03/17/2021,3.9588,3.9648,3.9479,3.9481,-0.0108,-0.27%,1862
03/16/2021,3.9547,3.9594,3.9501,3.9589,0.0043,+0.11%,1843
03/15/2021,3.9551,3.9594,3.8793,3.9546,0.0037,+0.09%,1792
03/12/2021,3.9337,3.9658,3.93,3.9509,0.0172,+0.44%,1806
03/11/2021,3.9479,3.9549,3.9319,3.9337,-0.0142,-0.36%,1814
03/10/2021,3.9556,3.9611,3.9474,3.9479,-0.0078,-0.20%,1845
03/09/2021,3.9602,3.9753,3.9531,3.9557,-0.0045,-0.11%,1802
03/08/2021,3.9352,3.966,3.9277,3.9602,0.032,+0.81%,1828
03/05/2021,3.9175,3.9309,3.9134,3.9282,0.0108,+0.28%,1802
03/04/2021,3.9084,3.9179,3.9048,3.9174,0.0089,+0.23%,1803
03/03/2021,3.8924,3.9137,3.8924,3.9085,0.0164,+0.42%,1805
03/02/2021,3.893,3.9116,3.8888,3.8921,-0.0009,-0.02%,1808
03/01/2021,3.9301,3.9301,3.8864,3.893,-0.0289,-0.74%,1833
02/26/2021,3.9017,3.9272,3.8969,3.9219,0.0203,+0.52%,1750
02/25/2021,3.8694,3.9019,3.8658,3.9016,0.0321,+0.83%,1795
02/24/2021,3.8649,3.8751,3.8649,3.8695,0.0045,+0.12%,1826
02/23/2021,3.8629,3.8727,3.8609,3.865,0.0021,+0.05%,1817
02/22/2021,3.8679,3.8721,3.7868,3.8629,0.0025,+0.06%,1816
02/19/2021,3.8656,3.8699,3.8604,3.8604,-0.0052,-0.13%,1821
02/18/2021,3.8669,3.872,3.8613,3.8656,-0.0012,-0.03%,1827
02/17/2021,3.8588,3.87,3.8538,3.8668,0.0081,+0.21%,1774
02/16/2021,3.8527,3.8614,3.8453,3.8587,0.0059,+0.15%,1777
02/15/2021,3.8513,3.8533,3.8415,3.8528,0.0021,+0.05%,1824
02/12/2021,3.8481,3.8573,3.8462,3.8507,0.0024,+0.06%,1802
02/11/2021,3.8537,3.8573,3.8441,3.8483,-0.0054,-0.14%,1814
